id,name,host_id,neighbourhood,latitude,longitude,room_type,price
24030,Beach Bungalow one block to ocean,96147,Venice,33.98798,-118.47301000000002,Entire home/apt,130
24041,2block from beach-Historic Bungalow discount/month,39253,Redondo Beach,33.831790000000005,-118.38328,Entire home/apt,145
24349,"Experience the Wolford House, a Mid Century Hilltop Jewel",98565,Mount Washington,34.1078,-118.21864,Entire home/apt,285
24626,Spacious + Sanitized 3 Bedroom Townhouse.,100027,Sawtelle,34.04123,-118.45496999999999,Entire home/apt,450
25445,Downstairs room in a craftsman house,105868,Culver City,34.02361,-118.3871,Private room,130
25670,Charming accommodations in Westwood/West LA,107370,West Los Angeles,34.047270000000005,-118.44058000000001,Entire home/apt,96
25672,Modern Studio with private garden and Aircondition,107473,East Hollywood,34.08044,-118.29805,Entire home/apt,135
26082,Asian Pacific Suite,11619,Woodland Hills,34.166779999999996,-118.64374,Private room,65
30474,Upstairs room VA in a craftsman house,105868,Culver City,34.02355,-118.38688,Private room,115
30725,room and bathroom in santa monica,132239,Santa Monica,34.01142,-118.47957,Private room,100
31237,Charming & cozy room with breakfast!!,134109,Los Feliz,34.10313,-118.28628,Private room,90
32963,The Zanja Shangri-La,142776,Culver City,33.99335,-118.44386999999999,Entire home/apt,175
33399,Lovely Master King Bed French Door,140939,Mar Vista,34.00095,-118.43381000000001,Private room,66
33447,Malibu Guest house/ near beach,144837,Malibu,34.01282,-118.8053,Entire home/apt,189
35922,Luxury Beachfront Santa Monica Home,154164,Santa Monica,34.00906,-118.49282,Entire home/apt,900
37036,👨‍👩‍👧‍👦Home Away from 🏡Home🛋️ furnished🛏 Sleeps 4 🌠🌠🌠🌠🌠,159886,Torrance,33.80017,-118.3478,Entire home/apt,125
37466,Arrival Haven; Home Away From Home,161668,Mid-Wilshire,34.05827,-118.34061000000001,Private room,75
40649,Great Room for a Great Price,175264,Mid-City,34.04085,-118.38065,Private room,45
40667,Nice room for a nice price,175264,Mid-City,34.04034,-118.38207,Private room,48
43318,Arts District Private Room 212,156094545,Downtown,34.04828,-118.23605,Private room,46
44062,Heart of Hollywood- The Original,192939,Hollywood,34.09179,-118.33111000000001,Entire home/apt,130
44509,Perfect Bedroom in Nice House with lovely pets!,195656,Van Nuys,34.19684,-118.45929,Private room,46
44511,"Motel rm $390 week,wifi,micro/fridg",195697,Lynwood,33.91942,-118.20913,Private room,54
45392,Cute Home in Mount Washington,201514,Glassell Park,34.10837,-118.22412,Private room,59
45417,Silver Lake Cottage Oasis- Private Terrace- Thirty Night Min,50231247,Silver Lake,34.09553,-118.27613999999998,Entire home/apt,135
46699,"Motel Rm $390 week , Free wifi /ac/micro/fridge",195697,Lynwood,33.91942,-118.20913,Private room,54
46853,Private Silverlake Guesthouse,75052,Silver Lake,34.08556,-118.28338000000001,Entire home/apt,150
46858,3 Bed Designer House - Fire Pit Lounge & Hot Tub,210344,Culver City,34.01277,-118.4083,Entire home/apt,300
47537,Malibu Ocean View Rooms for Rent 3,215462,Malibu,34.02956,-118.75532,Private room,350
47794,One Bedroom in Venice/MarinadelRey,217470,Culver City,33.99355,-118.44283999999999,Private room,100
49731,garden single studio apartment,227075,Glendale,34.15563,-118.23521000000001,Entire home/apt,60
50005,Guest House - Nightly or Weekly,49391,Hollywood,34.09596,-118.34985,Entire home/apt,110
51307,Spanish Bungalow Guest House LA CA. 30 plus nights,235568,Atwater Village,34.120259999999995,-118.26773,Entire home/apt,75
51498,Private Guest House -With Separate Entrance/Exit,236758,Mar Vista,34.00581,-118.44356,Entire home/apt,145
51546,Cool Pad Under the Hollywood Sign,237114,Hollywood Hills,34.11893,-118.32189,Entire home/apt,100
52642,studio,243695,Silver Lake,34.08976,-118.26953999999999,Private room,99
52871,Beverly Hills Large 1-Bdr Near Everything,245280,Beverly Hills,34.06197,-118.39887,Entire home/apt,135
53579,Ocean View Studio/ 2 beds/ AMAZING!,239712,Santa Monica,34.01357,-118.49538999999999,Hotel room,189
53945,Cheerful Beverly Hills Apartment,239905,Carthay,34.06132,-118.3703,Entire home/apt,135
54126,Luxury 3 Level Townhouse w/ Loft BR,253396,Mid-City,34.04972,-118.36866,Private room,42
54829,Beautiful Venice Beach Home Oasis,257925,Venice,34.000609999999995,-118.46353,Entire home/apt,125
55590,Echo Park/Silverlake-Private!!!,262696,Echo Park,34.07517,-118.26623000000001,Private room,94
60935,SHARE - Private/Charming/Furnished Bungalow,294390,Harvard Heights,34.04762,-118.30593999999999,Private room,71
60940,SHARE-Private bedroom in Charming 2 Bdrm Bungalow,294390,Harvard Heights,34.05076,-118.30677,Private room,50
61578,Find Peace at an Urban Oasis with Floor-to-Ceiling Glass,298123,Venice,33.99201,-118.4699,Entire home/apt,417
61582,Tranquil Artist Retreat w/ Patio,298216,Glassell Park,34.11235,-118.23207,Entire home/apt,78
63416,VIEWS! HOLLYWOOD SIGN - DOWNTOWN #1,309512,Hollywood Hills,34.11547,-118.32416,Private room,131
64574,Hollywood Hills Architectural Home,285079,Hollywood Hills,34.1273,-118.32003,Entire home/apt,220
66796,Italian-Style Hillside Retreat with Tranquil Gardens,162151,Los Feliz,34.116609999999994,-118.28776,Entire home/apt,395
67089,Tranquil Guesthouse Oasis with a Hot Tub,210344,Culver City,34.00959,-118.40953999999999,Entire home/apt,135
67672,furnished one bedroom,334198,Santa Monica,34.04055,-118.4748,Entire home/apt,85
67792,Hollywood Bungalow/Pool/GuestHouse,334952,West Hollywood,34.08177,-118.38747,Entire home/apt,400
69838,L.A. Lifestyle--like you live here,351521,Mid-City,34.03853,-118.33628,Private room,89
70639,Casa Periwinkle - Garden Apartment,358936,Elysian Park,34.07882,-118.23393,Entire home/apt,69
71504,Amazingly reviewed private bedroom,366343,Beverlywood,34.04981,-118.39745,Private room,70
71514,Private bedroom with great reviews,366343,Beverlywood,34.04978,-118.39745,Private room,70
71972,"Melrose Place, 4 miles UCLA, 8 miles USC, West LA",159716,Cheviot Hills,34.03045,-118.40618,Private room,55
72186,Large and Lovely Bedroom in a Craftsman Home,230943,Harvard Heights,34.04079,-118.30837,Private room,49
74770,"Feel Like Home, in a 700 Sf. of Open Space Guesthouse, with Weekly Maid Service.",394279,Encino,34.18177,-118.52621,Entire home/apt,109
75212,Sunny Room in house nr Long Beach,343761,Lakewood,33.84827,-118.08478000000001,Private room,57
75512,"Arrival Haven II, The Artist Studio",161668,Mid-Wilshire,34.05832,-118.34105,Private room,75
76561,BECAUSE REVIEWS DON'T LIE! Go Instant Book Now!,403838,View Park-Windsor Hills,33.98604,-118.36023999999999,Entire home/apt,102
79502,modern minimalist *city views*patio,428171,Silver Lake,34.08333,-118.27951000000002,Entire home/apt,125
79832,Guest Quarters @ the Hollywood Sign,28569,Hollywood Hills,34.12859,-118.3202,Entire home/apt,110
80714,Cozy secluded Guesthouse in Garden,436647,Mid-Wilshire,34.05966,-118.35401999999999,Entire home/apt,119
80734,Hollywood Hills 1BR oasis *** 1 MONTH MINIMUM ***,436865,Hollywood Hills,34.10805,-118.34111000000001,Entire home/apt,90
81480,cozy furnished studio,334198,Santa Monica,34.04043,-118.47367,Entire home/apt,80
84636,"Motel Rm for rent ,Free Wifi and Parking $390 Week",195697,Lynwood,33.91942,-118.20913,Private room,54
84788,Privacy is yours. Private Room Private Bath,463812,North Hills,34.24135,-118.46301000000001,Private room,42
84789,Mid Century 4+3 Ranch- Near Malibu Beach/Calabasas,11619,Woodland Hills,34.16745,-118.64428000000001,Entire home/apt,382
85246,Central Renovated Private Room/Bath,466662,Mid-Wilshire,34.054559999999995,-118.36348999999998,Private room,97
85973,Tujunga Canyon Bungalow,466847,Tujunga,34.255179999999996,-118.28128000000001,Entire home/apt,85
86674,Vintage and private - walk to Sunset & Views,428171,Silver Lake,34.08365,-118.27848,Entire home/apt,125
87595,GoodVibeStudio+Venice Bch+LAX+Bikes,479630,Westchester,33.96568,-118.41771999999999,Entire home/apt,107
90986,Vintage Charming Guest House,491953,Mid-City,34.03954,-118.34113,Entire home/apt,105
92481,Good Vibrations Home+Beach+Bikes!!,479630,Westchester,33.96781,-118.41985,Entire home/apt,315
93359,Ocean Views on Ocean Avenue!,239712,Santa Monica,34.0136,-118.49553,Hotel room,145
95242,Private Apt. in Heart of City!  S.B,465624,Fairfax,34.07796,-118.35706,Entire home/apt,60
96334,Private room in a cozy creative home,511559,Woodland Hills,34.15668,-118.60318999999998,Private room,59
97000,Motel Rm 2beds/micro/fridge/AC/wifi,195697,Lynwood,33.91942,-118.20913,Private room,75
97354,Charming Spanish Home by the Beach,486261,Santa Monica,34.03908,-118.49247,Entire home/apt,550
99962,Peaceful Private Suite in Gorgeous Penthouse,508888,Hollywood Hills,34.10816,-118.33433000000001,Private room,75
101702,Lovely Echo Park Studio,532541,Echo Park,34.07237,-118.26332,Entire home/apt,100
104010,SUPER COZY Mid Century LA House with city view.,531528,Mount Washington,34.09192,-118.21793000000001,Entire home/apt,179
106052,Stand Alone Studio Cottage Retreat,550047,Carson,33.82738,-118.27963999999999,Entire home/apt,66
106061,Silver Lake Cottage (Los Angeles 90026),550078,Silver Lake,34.08767,-118.26423999999999,Entire home/apt,94
107970,2 Room Poolside Guesthouse +bikes,552845,Long Beach,33.77435,-118.12275,Entire home/apt,44
111646,"AMAZING PRICE, HUGE  TOWNHOUSE IN NOHO",102117,North Hollywood,34.17358,-118.38673,Private room,46
113253,"Cali, Cozy, Rustic Log Cabin Feel",576425,Mid-City,34.04891,-118.37121,Private room,80
114203,Executive 1 Bedroom Suite-LUXURY!!!,579779,West Hollywood,34.09659,-118.36843,Entire home/apt,175
120005,Motel Rm $390 wk /free wifi and parking,195697,Lynwood,33.91942,-118.20913,Private room,54
121717,Updated Mid-Century Property by Angeles National Forest,219283,Altadena,34.21007,-118.16425,Entire home/apt,175
124199,BEVERLY HILLS APT,619518,Beverly Hills,34.06547,-118.40422,Entire home/apt,99
127766,"Cypress in Quiet Canyon: Gourmet Kitchen, W/D, Prk",523903,Echo Park,34.09028,-118.24981000000001,Entire home/apt,105
130915,Pvt. Home Available,644202,Calabasas,34.13097,-118.70428999999999,Private room,75
131174,Santa Monica Beach Suite 5,648867,Pacific Palisades,34.02665,-118.51691000000001,Entire home/apt,85
131557,sweet little apt,78804,Echo Park,34.08008,-118.25653999999999,Entire home/apt,110
132908,Spectacular Home With Breath Taking View,633484,Hollywood Hills West,34.10217,-118.3759,Entire home/apt,1139
134553,The Creative Suite in Topanga Cyn,592405,Topanga,34.09728,-118.61736,Entire home/apt,90
135608,Arts District Private Room 226,156094545,Downtown,34.04827,-118.23603,Private room,42
137215,Sage in Quiet Canyon with 2 Furnished Patios,523903,Echo Park,34.08916,-118.2489,Entire home/apt,222
138211,Santa Monica/Brentwood Guest House,674917,Sawtelle,34.034929999999996,-118.4629,Entire home/apt,125
138244,The Garden of Edenhurst Guest House,675083,Atwater Village,34.120490000000004,-118.26441000000001,Entire home/apt,89
143210,"Cozy room1; Silverlake, Los Angeles",694988,Los Feliz,34.09942,-118.2764,Private room,120
150075,Beautiful 2 BEDROOMS 1 BATH  IN NORTH HOLLYWOOD,647546,Valley Glen,34.182559999999995,-118.39972,Entire home/apt,160
150097,CHARMING MASTER STUDIO  W/JACUZZI TUB  IN NOHO,647546,Valley Glen,34.17961,-118.40038,Entire home/apt,80
152333,Huge 2BR:Walk to All -Grove/CBS S.D,465624,Fairfax,34.0779,-118.35738,Entire home/apt,91
152514,Charming duplex steps to beach!,733870,Manhattan Beach,33.903940000000006,-118.4194,Entire home/apt,150
153412,Beautiful Venice Beach Canal house,737626,Venice,33.98498,-118.46717,Entire home/apt,325
160142,Topanga Butterfly Garden Tiny House,744026,Topanga,34.084509999999995,-118.60353,Entire home/apt,90
160288,Topanga Mountain Wonderland Cottage,592405,Topanga,34.09619,-118.61773000000001,Entire home/apt,112
164889,Japanese Teahouse in Topanga,592405,Topanga,34.09787,-118.61616000000001,Entire home/apt,124
164946,Arts District Private Room 234,156094545,Downtown,34.04827,-118.23603,Private room,45
165978,Comfy Large 2 Bd 2 Bath Parking Pet Friendly,294812,Mid-Wilshire,34.06824,-118.346,Entire home/apt,165
167057,VIEWS! HOLLYWOOD SIGN - DOWNTOWN #2,309512,Hollywood Hills,34.11404,-118.32423,Private room,119
171239,Sunny Hollywood - Walk Everywhere!,816926,Hollywood,34.09375,-118.33632,Private room,89
172193,Spend your Holidays in Magnificent Malibu,821698,Malibu,34.00612,-118.80913999999999,Private room,369
172707,Maple: Quiet Canyon Condo with 2 Garden Patios,523903,Echo Park,34.08913,-118.24896000000001,Entire home/apt,195
177666,Charming Spanish Style Beach Home,849816,Long Beach,33.75594,-118.13342,Entire home/apt,304
179373,Groovy Hidden Hollywood Hills Pad,858852,Hollywood Hills,34.11119,-118.3193,Entire home/apt,160
180926,"Malibu Charming, Cozy Home Studio in Nature",866997,Unincorporated Santa Monica Mountains,34.07263,-118.89666000000001,Entire home/apt,219
181430,Huge and rare 2br duplex in Santa Monica,869641,Santa Monica,34.03504,-118.47191000000001,Entire home/apt,150
181511,"Sunny, spacious apartment with deck",870087,Elysian Valley,34.10071,-118.24998000000001,Entire home/apt,130
184314,Boho Chic Flat..Steps to Beach!,884031,Venice,33.97703,-118.46318000000001,Entire home/apt,125
185536,Lovely Private rm in Home to FEMALE (Red Room),890778,Westchester,33.96053,-118.42206000000002,Private room,75
185557,"Private Room in Home to FEMALE, pls (Purple Room)",890778,Westchester,33.96047,-118.42193,Private room,75
187526,Malibu Pacific Ocean View Room 1,215462,Malibu,34.030359999999995,-118.7569,Private room,261
190160,Guest Room in Echo Park Townhouse with views,476379,Echo Park,34.0718,-118.25216999999999,Private room,45
191733,Gorgeous Spanish/Modern Guesthouse,1597048,Atwater Village,34.111990000000006,-118.25198,Entire home/apt,100
194809,Large 1 BR Culver City Peaceful Getaway!,946246,Palms,34.02559,-118.40626,Entire home/apt,59
195229,"Great West L.A. location, near much",393829,Mar Vista,34.02021,-118.43445,Private room,114
196410,Little villa Apartment,78804,Echo Park,34.08201,-118.25491000000001,Entire home/apt,80
197756,Hillside Apartment in Silverlake (Sunset Junction),964494,Silver Lake,34.08618,-118.27651000000002,Entire home/apt,133
198613,Stylish Bungalow House- In TheTrendy Melrose Area.,969656,Fairfax,34.08716,-118.34408,Entire home/apt,75
203991,great top floor condo,231825,Sawtelle,34.03385,-118.46148000000001,Entire home/apt,120
204256,"Bright, Spacious 2bd Apt    S.U",465624,Fairfax,34.07803,-118.3559,Entire home/apt,112
205639,Melrose Manor - Studio Guest House,727836,Beverly Grove,34.08354,-118.37123000000001,Entire home/apt,79
205643,A Unique Retreat: Eco-friendly Suburban Efficiency,1011296,Long Beach,33.8379,-118.13316,Entire home/apt,79
206662,"Hollywood & Hiking, sleeps 2, 31 day minimum",33861,Hollywood Hills,34.10417,-118.34541000000002,Entire home/apt,115
210489,3br 3ba townhome near Beverly Hills,76111,Pico-Robertson,34.05455,-118.39301999999999,Entire home/apt,340
210855,Master Bedroom in Santa Monica Townhome,1032538,Santa Monica,34.02454,-118.48733999999999,Private room,68
211070,Share our Paradise:  Large Studio,1089381,Hollywood Hills,34.12377,-118.35512,Private room,85
212036,Guest House: North Hollywood/Universal,1093111,Sun Valley,34.223490000000005,-118.39634,Entire home/apt,99
212140,Beautiful Silverlake 2BR Craftsman- 30 Night Min,50231247,Silver Lake,34.09339,-118.27741999999999,Entire home/apt,160
212142,Silver Lake-Craftsman 1BR w deck & views 30 nt min,50231247,Silver Lake,34.0944,-118.27818,Entire home/apt,135
212202,Lakewood California Guest Suite,1094375,Lakewood,33.866929999999996,-118.12746000000001,Private room,65
214533,1930's Hollywood Charm - 1 Bedroom & Den & Garden,1036375,Hollywood,34.096,-118.34867,Entire home/apt,135
214870,Little House in North Hollywood,1109393,North Hollywood,34.19213,-118.39873999999999,Entire home/apt,75
215161,MARINA BEACH BUNGALOWS,1111042,Venice,33.975559999999994,-118.46439,Entire home/apt,168
217666,Hollywood-Mid-Wilshire-Beverly Apt. at CBS-TV City,799408,Fairfax,34.076609999999995,-118.35425,Entire home/apt,66
217971,GEORGEOUS CANYON BEACH GUESTHOUSE,1126652,Pacific Palisades,34.028529999999996,-118.5157,Entire home/apt,189
218672,Beautiful Ocean Front Beach House D,465624,Malibu,34.03725,-118.62818999999999,Entire home/apt,980
221502,Wilshire Center (Vermont/Wilshire),1149254,Koreatown,34.06455,-118.29592,Private room,62
222200,Walk to Venice Beach from Luxury Home,1124533,Venice,33.99302,-118.4606,Entire home/apt,770
226517,Picturesque port town awaits you !,1180987,San Pedro,33.74232,-118.30168,Private room,37
226609,Retreat to Romantic Pasadena Adj.,1181670,Altadena,34.19226,-118.13738000000001,Entire home/apt,99
226869,"Large luxury apt. w/ pool, etc.",1183585,Venice,33.98685,-118.44465,Private room,65
229209,Gorgeous House in Century City,798894,Century City,34.0513,-118.42043000000001,Private room,92
229799,322 Lux 1Bedrm Loft Nr UCLA &Buses On Westwood Bl,3392276,West Los Angeles,34.04708,-118.43596000000001,Entire home/apt,88
232085,East Hollywood!,1214218,Los Feliz,34.103159999999995,-118.29973000000001,Entire home/apt,60
234241,Historic Home block to Beach,1226523,Long Beach,33.76396,-118.15664,Private room,125
237188,Sunny King Bedroom Tropical Decor,140939,Mar Vista,34.00093,-118.43386000000001,Private room,66
237285,1 BR in Glendale... Adams Hill,181488,Glendale,34.132659999999994,-118.24152,Entire home/apt,290
237985,"Venice Walk Street Casita ""Girl""",1247886,Venice,33.99475,-118.45821000000001,Entire home/apt,279
237988,Venice Walk Street Modern 2BR House,1247886,Venice,33.99568,-118.45674,Entire home/apt,592
239032,Topanga Mtn Guest House Detached,1027744,Topanga,34.10071,-118.59235,Entire home/apt,128
241906,"One Private Room in Studio City, CA",1242157,Studio City,34.14461,-118.4158,Private room,200
242108,House + Garage 2 Bed 2 Bath near Carson & Lakewood,1270782,Long Beach,33.84565,-118.19476,Entire home/apt,299
244472,Zen Cottage in Del Rey/Silicon Beach,811624,Del Rey,33.9872,-118.42886999999999,Entire home/apt,130
245682,Private Bd & Ba - Beautiful Santa Monica Mountains,1171857,Unincorporated Santa Monica Mountains,34.11742,-118.78488999999999,Private room,66
246092,Echo Park 1.br Studio,526513,Echo Park,34.080659999999995,-118.25268,Entire home/apt,75
247898,Relaxing Oasis,1299321,Los Feliz,34.11633,-118.27342,Private room,70
253683,Charming 2 Bedrooms 2 Baths Villa Patio BBQ Garage,1270782,Long Beach,33.84584,-118.19556999999999,Entire home/apt,278
254259,"Tranquil and Contemporary Secluded Guest Suite in Venice, Ca",1335578,Venice,34.004059999999996,-118.45593999999998,Entire home/apt,155
254320,Large 1-Bedroom Pool House in Great Location,343842,Studio City,34.14277,-118.40808999999999,Entire home/apt,135
254844,The Oasis in Beverly Hills.,1338512,Beverly Crest,34.0884,-118.42726,Entire home/apt,728
255656,Classic Central Hollywood Gem,1343997,Hollywood,34.103359999999995,-118.32366,Entire home/apt,144
255701,Lovely Hollywd Apt-w/ porch&garden,1343997,Hollywood,34.103359999999995,-118.32366,Entire home/apt,173
256092,Studio apt Great Silver Lake loc.,1335671,Echo Park,34.081759999999996,-118.2691,Entire home/apt,64
256182,Modern Silverlake one bedroom,279548,Westlake,34.07767,-118.28372,Entire home/apt,125
256622,Truly Amazing Charming Townhome,1350196,West Hollywood,34.090990000000005,-118.36161000000001,Entire home/apt,180
257003,"Panoramic View and Pool, Chic Hollywood Bungalow",460675,Hollywood Hills,34.11602,-118.32511000000001,Entire home/apt,590
258803,Beverly Hills/BevCenter/Cedars/RodeoDr/W Hollywood,1367539,Beverly Grove,34.071220000000004,-118.37895,Entire home/apt,235
259679,Comfy Apartment near The Rose Bowl,1362975,Highland Park,34.10515,-118.19124,Entire home/apt,65
260684,Silver Lake Studio  Central loc.,1335671,Echo Park,34.08065,-118.26763000000001,Entire home/apt,68
260698,Historic Craftsman Home in Pasadena,1367809,Pasadena,34.164640000000006,-118.12138999999999,Entire home/apt,500
262430,"""The Victorian""at Adobe Horse Ranch",1376880,Agua Dulce,34.50806,-118.31934,Private room,68
265119,Mid-Century Guesthouse in Gorgeous Neighborhood,1363823,Glendale,34.17471,-118.27325,Entire home/apt,91
266566,Hollywood Bungalow,1397951,Hollywood Hills,34.11013,-118.32799999999999,Private room,67
266975,"Creative Zen Retreat. Enjoy, Create, Relax. Reconnect.",1399964,Venice,33.99811,-118.46439,Entire home/apt,216
269521,"Charming Palisades Home by Beach, Parks & Shops",1411978,Pacific Palisades,34.04651,-118.54003,Entire home/apt,169
269810,Hermosa Beach House- Live Like a Local,1413899,Hermosa Beach,33.86776,-118.40183,Entire home/apt,250
272472,BEACH HOUSE- VACATION RENTAL !,1421694,Long Beach,33.75537,-118.13592,Entire home/apt,225
273119,Venice Retreat Designer Poolhouse,1429142,Venice,33.99685,-118.45584,Entire home/apt,118
273933,Beautiful Home California Heights,1252072,Long Beach,33.848,-118.18056999999999,Entire home/apt,180
274241,2BR/2BA Private LA Home - Pet OK,1434157,Baldwin Hills/Crenshaw,34.021809999999995,-118.36658,Entire home/apt,195
278106,Venice Beach Mermaid Cottage+75ft from beach!,1451697,Venice,33.97871,-118.46321999999999,Entire home/apt,189
278184,"Cozy, Beach Pad in Venice Beach",998027,Venice,33.99242,-118.47856999999999,Entire home/apt,126
279086,Sunny Gem,370874,Mar Vista,33.99927,-118.42641,Private room,118
281139,Stylish Hollywood Loft with Views!,1465514,Hollywood,34.097970000000004,-118.31616000000001,Entire home/apt,114
281287,sober living/transitional housing,1466397,West Compton,33.899359999999994,-118.25553000000001,Shared room,36
286019,Burbank - Nr Disney & Warner Studios,1488653,Burbank,34.15743,-118.32072,Private room,105
286771,Silver Lake Studio- Central Loc.,1335671,Echo Park,34.07952,-118.26742,Entire home/apt,67
286866,Romantic Escape in Silverlake,135271,Atwater Village,34.1121,-118.2587,Entire home/apt,152
287339,Home on PRIVATE BEACH in Malibu; no public access,1494781,Malibu,34.038000000000004,-118.62307,Entire home/apt,1243
288038,Monthly Dorms at Gramercy Place,1497543,Arlington Heights,34.046409999999995,-118.31393999999999,Shared room,35
288061,STUDENT HOUSING---month to month at Gramercy Place,1497543,Arlington Heights,34.04564,-118.31383000000001,Shared room,40
288428,Beautiful private room+ bath+a new nice queen bed.,1705379,Van Nuys,34.19076,-118.48172,Private room,65
288779,Monthly Dorms at Gramercy Place!,1497543,Harvard Heights,34.04708,-118.31198,Shared room,35
290530,930 Welcomed New travels,1511137,Long Beach,33.769009999999994,-118.18118999999999,Entire home/apt,80
295630,The Harper Suite,1526671,Hollywood,34.08597,-118.33267,Entire home/apt,185
295659,The Harper Residence,1526671,Hollywood,34.08556,-118.33465,Entire home/apt,695
296379,Urban Farm Art Studio,1529054,Fairfax,34.08663,-118.35602,Entire home/apt,114
297561,Beachside Bungalow- steps 2 Beach!,1411463,Torrance,33.81264,-118.38885,Private room,119
298258,Boho ECO healing retreat  1 block to Beach,1367620,Venice,33.9919,-118.47502,Entire home/apt,354
298259,"Relaxing Retreat with WiFi, Parking, and Calm",1537525,Mar Vista,34.00011,-118.44708999999999,Entire home/apt,145
298364,Private Master Bedroom in West Los Angeles,1410274,Palms,34.02603,-118.40528,Private room,70
299876,Bright Urban Efficiency Apt + Large Patio,1545388,Echo Park,34.089929999999995,-118.24882,Entire home/apt,106
300311,Private Rooms---1st month discount!,1497543,Harvard Heights,34.04704,-118.31218,Private room,65
300323,Gramercy Place---monthly dorms,1497543,Harvard Heights,34.0463,-118.31246999999999,Shared room,35
300329,Student Housing---month to month at Gramercy Place,1497543,Harvard Heights,34.046459999999996,-118.31221000000001,Shared room,40
300343,Private Room---month to month at Gramercy Place!,1497543,Arlington Heights,34.04616,-118.31336999999999,Private room,65
300371,GRAMERCY PLACE! Dorms available.,1497543,Arlington Heights,34.04703,-118.31343000000001,Shared room,35
